jax_backend=gpu

### k=12 src=9  ceiling 2.973e-03  ROM 1.962e-01  obj0 4.3163e-02 -> 9.1232e-03 (red 2.11e-01)  obj@ceil 1.0176e-04  iters 60 acc 38 reason 0  |z0-zceil| 0.314 |zfin-zceil| 3.552
   it   lam       ||r||       ||r_new||   acc  ||dz||    ||z||   cond(J)   ||g||
    22 2.09e-05 8.1325e-05 7.6247e-05 A  5.410e-02 0.378 4.296e+02 2.145e-06
    23 6.97e-06 7.6247e-05 7.3299e-05 A  4.783e-02 0.392 4.466e+02 1.327e-06
    24 2.32e-06 7.3299e-05 7.2211e-05 A  3.941e-02 0.405 4.068e+02 4.272e-07
    25 7.74e-07 7.2211e-05 7.1977e-05 A  1.758e-02 0.413 3.595e+02 1.353e-07
    26 2.58e-07 7.1977e-05 7.1954e-05 A  5.973e-03 0.414 3.417e+02 2.871e-08
    27 8.60e-08 7.1954e-05 7.1951e-05 A  1.948e-03 0.414 3.365e+02 3.565e-09
    28 2.87e-08 7.1951e-05 7.1951e-05 A  6.351e-04 0.415 3.348e+02 2.671e-10
    29 9.56e-09 7.1951e-05 7.1951e-05 A  2.070e-04 0.415 3.343e+02 7.095e-11
    30 3.19e-09 7.1951e-05 7.1951e-05 A  6.737e-05 0.415 3.341e+02 2.848e-11
    31 1.06e-09 7.1951e-05 7.1951e-05 A  2.192e-05 0.415 3.341e+02 9.964e-12
    32 3.54e-10 7.1951e-05 7.1951e-05 A  7.132e-06 0.415 3.341e+02 3.315e-12
    33 1.18e-10 7.1951e-05 7.1951e-05 A  2.320e-06 0.415 3.341e+02 1.087e-12
    34 3.93e-11 7.1951e-05 7.1951e-05 A  7.547e-07 0.415 3.341e+02 3.543e-13
    35 1.31e-11 7.1951e-05 7.1951e-05 A  2.455e-07 0.415 3.341e+02 1.153e-13
